Process,Run,ElapsedMs,AllocatedBytes,Gen0,Gen1,Gen2
1,0,2386.459,28692488,5,1,0
1,1,1427.695,27824896,4,1,1
1,2,1515.101,27831128,6,2,1
1,3,1481.921,27828056,4,1,0
1,4,1515.890,27833008,5,2,1
1,5,1394.831,27827096,5,1,0
1,6,1406.696,27830344,5,2,1
1,7,1427.765,27827360,5,1,0
1,8,1410.086,27831016,5,2,1
1,9,1429.761,27827024,5,1,0
1,10,1406.123,27831288,5,2,1
1,11,1387.009,27804680,5,1,0
1,12,1353.733,27810008,5,2,1
1,13,1763.230,27827160,5,1,0
1,14,1628.615,27828816,5,2,1
1,15,1826.123,27802424,5,1,0
2,0,2981.148,28693656,5,1,0
2,1,1536.251,27773504,4,1,1
2,2,1713.638,27832424,5,2,1
2,3,1436.241,27827288,5,1,0
2,4,1856.527,27833384,5,2,1
2,5,2964.227,27829024,5,1,0
2,6,1611.398,27835864,5,2,1
2,7,1629.458,27825280,5,1,0
2,8,1562.746,27834472,5,2,1
2,9,1589.502,27817880,5,1,0
2,10,1520.199,27818208,5,2,1
2,11,1573.110,27813184,5,1,0
2,12,1545.505,27818616,5,2,1
2,13,1422.323,27835216,6,2,1
2,14,1250.876,27827016,4,1,1
2,15,1323.610,28086800,6,2,1
3,0,2404.649,28692504,5,1,0
3,1,1362.131,27822136,4,1,1
3,2,1301.363,27835616,5,2,1
3,3,1795.456,27828024,5,1,0
3,4,2002.158,27831832,5,2,1
3,5,1985.633,27826032,5,1,0
3,6,1809.960,27835800,5,2,1
3,7,1518.405,27827272,5,1,0
3,8,1394.899,27833056,5,2,1
3,9,1499.478,27827056,5,1,0
3,10,1732.286,27833416,5,2,1
3,11,1513.875,27804496,5,1,0
3,12,1536.142,27807400,5,2,1
3,13,1667.741,27825760,5,1,0
3,14,1579.464,27832008,5,2,1
3,15,1731.180,27829576,5,1,1
4,0,2835.022,28743192,5,1,0
4,1,1866.921,27774104,4,1,1
4,2,1781.112,27835688,5,2,1
4,3,1427.830,27827424,5,1,0
4,4,1424.278,27830536,5,2,1
4,5,1575.441,27826728,5,1,0
4,6,1453.773,27830440,5,2,1
4,7,1978.135,27826096,5,1,0
4,8,1972.257,27829592,5,2,1
4,9,1540.453,27804432,5,1,0
4,10,1490.949,27807144,5,2,1
4,11,1468.638,27826008,5,1,0
4,12,1383.073,27837128,6,2,1
4,13,1328.886,27825464,4,1,0
4,14,1361.265,27814864,6,2,1
4,15,1377.893,27828632,4,1,1
5,0,2987.331,28720160,5,1,0
5,1,1587.499,27770928,4,1,1
5,2,1667.965,27835696,5,2,1
5,3,1597.342,27824928,5,1,0
5,4,1560.022,27829208,5,2,1
5,5,2421.026,27828936,5,1,0
5,6,2038.372,27830440,5,2,1
5,7,1609.190,27827760,5,1,0
5,8,1610.921,27830160,5,2,1
5,9,1641.918,27804016,5,1,0
5,10,1476.316,27805112,5,2,1
5,11,1350.960,27826952,5,1,0
5,12,1384.145,27835688,6,2,1
5,13,1447.576,27824032,4,1,0
5,14,1439.074,27807392,6,2,1
5,15,1349.871,27827712,4,1,1
